CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,MonthlyRevenue,NPS,CLV,Exited
1,689,France,Male,43,0,0.0,2,1,1,118713.4493951927,118.81091901998877,7,9656.886994341212,0
2,638,France,Male,25,3,72635.49776359505,1,1,0,135211.0922327846,435.40206576842365,1,33780.209149576745,0
3,701,France,Female,39,6,128201.52384764527,1,1,0,84467.27376567847,718.5807426846013,6,33967.717961141374,0
4,771,France,Female,28,3,112300.72330642348,2,1,1,113347.88095545716,658.3373504157204,8,18290.665985469408,0
5,631,Spain,Male,24,10,100273.88370894092,1,1,0,13102.174854901154,570.2582304699916,3,63043.36817727755,0
6,631,France,Female,42,3,124140.13165842174,2,1,1,100440.75941658163,739.9820690504802,10,58218.33291652635,0
7,776,France,Male,49,8,184888.61033548845,1,0,0,166048.04378149947,985.4391563096291,2,66631.18090936067,1
8,711,Germany,Male,34,10,0.0,2,1,0,66798.88216910948,130.25961324647832,4,13937.45433156393,1
9,612,France,Male,35,5,174599.12750455164,2,1,0,60493.78382524289,1008.5292788207453,9,93829.99855773764,0
10,693,Germany,Male,26,8,0.0,2,1,1,156758.42562389167,122.7160384231488,10,5000.416984834779,0
11,612,Spain,Female,38,1,0.0,1,0,1,70937.47162964648,70.31994771712442,7,5044.290258779585,0
12,612,France,Female,45,6,100579.12622560916,1,1,1,83918.24265603848,563.1814770243689,8,48167.30267744195,0
13,669,Spain,Female,45,6,0.0,1,0,1,166046.46591640572,65.61690050397839,9,6033.381336276234,0
14,496,Spain,Male,43,7,119174.98784730065,2,1,0,22214.039908808867,726.3150463674259,8,59814.35979757222,0
15,512,France,Female,31,9,0.0,1,1,1,187616.53357414115,77.07204737350497,8,5399.062799931544,0
16,605,France,Male,31,10,45424.17981639232,2,1,0,47523.44196861093,347.62349142997334,4,8522.36884346529,0
17,568,Spain,Male,45,8,77386.37943117411,2,1,1,51057.0202799877,500.4955352511695,6,28846.986656944577,0
18,675,Germany,Female,46,7,150574.40732414418,1,1,0,157009.8889146849,837.3195821178291,3,67731.26979448815,1
